Area,Sub-area,Station,Max_DHWs,Year
Pacific Ocean,Eastern Pacific,Galapagos,40,1998
Australia,Other Australia Stations,Hamelin Pool,33,2011
Australia,Other Australia Stations,Houtman Abrolhos,32,2011
Australia,Other Australia Stations,Shark Bay,31,2011
Indian Ocean,Middle East,Gulf of Aqaba,30,2024
Indian Ocean,Middle East,Gulf of Suez,30,2024
Australia,Other Australia Stations,Marmion and Rottnest ,28,2011
Indian Ocean,Middle East,"Tabuk, Saudi Arabia",28,2024
Pacific Ocean,Polynesia,Northern Line Islands,27,2015
Atlantic ocean, Gulf of Mexico,Yucatan Peninsula,26,2023
Atlantic ocean,Caribbean,Nearshore Venezuela,26,2010
Atlantic ocean,Caribbean,Nicaragua,26,2023
Indian Ocean,Middle East,Egypt,26,2024
Atlantic ocean,Caribbean,Offshore Venezuela,25,2010
Australia,Other Australia Stations,Ningaloo,25,2011
Atlantic ocean,Other Atlantic Ocean Stations,Central Bahamas,24,2023
Atlantic ocean,Caribbean,Northwestern Cuba,24,2023
Atlantic ocean,Caribbean,"La Guajira, Colombia",24,2023
Atlantic ocean,Eastern Atlantic,Cape Verde Islands,23,2023
Atlantic ocean,Caribbean,Jamaica,23,2023
Atlantic ocean,Caribbean,Southern Hispaniola,23,2023
Atlantic ocean,Caribbean,"Aruba, Curacao, and Bonaire",23,2023
Indian Ocean,Middle East,Western Persian Gulf,23,2024
Atlantic ocean,Florida,Florida Keys,22,2023
Atlantic ocean,Brazil,Maracajau,22,2024
Atlantic ocean,Brazil,Costa dos Corais,22,2024
Southeast Asia,East Asia,Northern Ryukyu Islands,22,2024
Southeast Asia,East Asia,Southern Taiwan,22,2024
Southeast Asia,East Asia,"Dongsha, Taiwan",22,2024
Indian Ocean,Middle East,Eritrea,22,2023
Indian Ocean,Middle East,Al Madinah and Makkah,22,2024
Atlantic ocean,Other Atlantic Ocean Stations,Turks and Caicos,21,2023
Atlantic ocean, Gulf of Mexico,"Veracruz, Mexico",21,2023
Atlantic ocean,Caribbean,Northeastern Cuba,21,2023
Atlantic ocean,Caribbean,Southwestern Cuba,21,2023
Atlantic ocean,Caribbean,Southeastern Cuba,21,2023
Atlantic ocean,Caribbean,Leeward Caribbean Islands,21,2023
Atlantic ocean,Caribbean,Windward Caribbean Islands,21,2023
Atlantic ocean,Caribbean,Panama Atlantic West,21,2023
Atlantic ocean,Caribbean,Belize,21,2023
Atlantic ocean,Caribbean,"Quintana Roo, Mexico",21,2023
Atlantic ocean,Brazil,Todos os Santos,21,2024
Pacific Ocean,Polynesia,Austral Islands,21,2017
Pacific Ocean, US Pacific Remote Islands,Howland and Baker,21,2024
Pacific Ocean,Micronesia,"Phoenix Islands, Kiribati",21,2024
Southeast Asia,East Asia,Northern Taiwan,21,2024
Southeast Asia,East Asia,"Hainan Island, China",21,2020
Southeast Asia,Other Southeast Asia Stations,Ogasawara Islands,21,2020
Atlantic ocean,Caribbean,Cayman Islands,20,2023
Atlantic ocean,Caribbean,Trinidad and Tobago,20,2010
Atlantic ocean,Caribbean,Colombia Atlantic,20,2023
Atlantic ocean,Caribbean,Costa Rica Atlantic,20,2023
Atlantic ocean,Caribbean,Honduras,20,2023
Atlantic ocean,Brazil,Fernando de Noronha,20,2024
Pacific Ocean,Polynesia,Samoas,20,2024
Australia,Other Australia Stations,Scott to Ashmore Reefs,20,2016
Australia,Other Australia Stations,"Lord Howe Island, Australia",20,2010
Atlantic ocean,Caribbean,Northern Hispaniola,19,2023
Atlantic ocean,Caribbean,Puerto Rico,19,2023
Atlantic ocean,Caribbean,Virgin Islands,19,2023
Atlantic ocean,Caribbean,Panama Atlantic East,19,2023
Atlantic ocean,Brazil,Abrolhos Reefs,19,2019
Pacific Ocean,Eastern Pacific,Costa Rica Pacific,19,2024
Pacific Ocean,Polynesia,Northwestern Hawaiian Islands,19,2014
Pacific Ocean,Polynesia,Southern Line Islands,19,2015
Pacific Ocean,Melanesia,Papua New Guinea,19,2023
Southeast Asia,East Asia,Southern Ryukyu Islands,19,2024
Southeast Asia,Coral Triangle,West Nusa Tenggara,19,2016
Indian Ocean,Middle East,Gulf of Oman,19,2024
Indian Ocean,Middle East,Sudan,19,2023
Pacific Ocean,Eastern Pacific,Panama Pacific East,18,2023
Pacific Ocean,Polynesia,Northern Cook Islands,18,2024
Pacific Ocean,Polynesia,Wallis and Futuna,18,2024
Pacific Ocean,Polynesia,Southern Cook Islands,18,2017
Pacific Ocean,Micronesia,"Gilbert Islands, Kiribati",18,2023
Pacific Ocean,Micronesia,Nauru,18,2014
Southeast Asia,East Asia,"Hong Kong, China",18,2024
Southeast Asia,East Asia,Northern Vietnam,18,2021
Southeast Asia,Coral Triangle,Northern Philippines,18,2024
Southeast Asia,Coral Triangle,East Java and Bali,18,2016
Australia,Great Barrier Reef,Northern Coral Sea Islands,18,2024
Australia,Great Barrier Reef,Southern Coral Sea Islands,18,2024
Indian Ocean,Middle East,"Jazan, Saudi Arabia",18,2023
Indian Ocean, South Asia,"Gulf of Kutch, India",18,2020
Indian Ocean, South Asia,"Chagos Archipelago, UK",18,2016
Indian Ocean,Western Indian Ocean,Seychelles,18,2024
Indian Ocean,Western Indian Ocean,Western Madagascar,18,2024
Indian Ocean,Western Indian Ocean,Northern Mauritius,18,2024
Indian Ocean,Western Indian Ocean,Southern Mauritius,18,2016
Atlantic ocean,Florida,Southeast Florida,17,2023
Pacific Ocean,Melanesia,Chesterfield Islands,17,2024
Southeast Asia,Coral Triangle,Southern Borneo,17,2010
Southeast Asia,Coral Triangle,East Nusa Tenggara,17,2016
Australia,Other Australia Stations,North Western Australia,17,2016
Indian Ocean,Middle East,Western Yemen,17,2023
Indian Ocean, South Asia,"Kerala, India",17,2024
Indian Ocean,Western Indian Ocean,Central Mozambique,17,2024
Indian Ocean,Western Indian Ocean,Northwestern Madagascar,17,2024
Indian Ocean,Western Indian Ocean,Southwestern Madagascar,17,2024
Indian Ocean,Western Indian Ocean,Northeastern Madagascar,17,2024
Pacific Ocean,Eastern Pacific,El Salvador,16,2023
Pacific Ocean,Eastern Pacific,Panama Pacific West,16,2024
Pacific Ocean,Micronesia,Eastern FSM,16,2017
Pacific Ocean,Melanesia,Western New Caledonia,16,2022
Southeast Asia,East Asia,"Paracel Islands, China",16,2024
