Sample_no,Species,Year,Month,Date,Colony,TP,SA(cm^2),Cells/cm2,Chl_pg/cell,Proteins_Host(mg/cm2),Carbs_Host(mg/cm2),Lipids_Host(mg/cm2),Total_energy(J/cm2),Proteins_Zoox (pg/cell),Carbs_Zoox(pg/cell),Lipids_Zoox(pg/cell),Total_energy(uJ/cell)
1,Stylophora,2022,July,14/07/2022,1,5,6.21,6562357,1.4,1.83,0.17,0.5,66.5,8.19,17.12,31.11,1.72
2,Stylophora,2022,July,14/07/2022,2,5,7.45,2881447,2.3,1.37,0.12,0.42,51.55,18.9,17.12,50.45,2.74
3,Stylophora,2022,July,14/07/2022,3,5,5.02,9527263,1.5,1.63,0.14,0.81,73.52,9.42,8.82,31.77,1.63
4,Stylophora,2022,July,14/07/2022,4,5,5.16,6572262,1.9,2.16,0.25,0.51,76.15,24.86,23.9,27.88,2.11
5,Stylophora,2022,July,14/07/2022,5,5,9.52,3259942,2,1.33,0.15,0.53,55.33,13.17,23.52,56.1,2.94
6,Stylophora,2022,July,14/07/2022,6,5,6.32,5259437,2.5,1.68,0.13,0.53,63.36,11.77,21.91,49.78,2.63
7,Stylophora,2022,July,14/07/2022,7,5,7.23,9348091,1.4,1.87,0.2,0.36,62.36,10.93,9.42,20.93,1.25
8,Stylophora,2022,July,14/07/2022,8,5,10.81,3266593,2.6,1.51,0.14,0.21,46.76,11.37,27.17,30.52,1.95
9,Stylophora,2022,July,28/07/2022,1,6,8.22,4999031,2.4,2.11,0.22,0.24,63.95,14.89,18.03,27.3,1.75
10,Stylophora,2022,July,28/07/2022,2,6,5.55,3225047,1.5,1.32,0.1,0.66,59.32,15.32,11.77,33.74,1.9
11,Stylophora,2022,July,28/07/2022,3,6,2.65,7631190,1.8,2.33,0.2,0.91,,18.45,23.11,13.77,1.39
12,Stylophora,2022,July,28/07/2022,4,6,6.21,5032758,2.6,1.83,0.18,0.33,59.91,16.78,25.86,41.95,2.51
13,Stylophora,2022,July,28/07/2022,5,6,3.34,4410034,2.5,1.41,0.16,0.79,67.45,2.88,24.3,82.71,3.76
14,Stylophora,2022,July,28/07/2022,6,6,10.21,8956842,1.3,1.72,0.22,0.51,65.12,8.04,11.25,17.12,1.07
15,Stylophora,2022,July,28/07/2022,7,6,4.58,3771966,2.4,1.83,0.17,0.68,73.64,20.45,34.27,45.03,2.87
16,Stylophora,2022,July,28/07/2022,8,6,4.64,4199449,2.2,1.69,0.16,0.65,68.95,16.25,30.32,47.65,2.8
17,Stylophora,2022,August,10/08/2022,1,7,8.50,3812939,3.2,1.99,0.17,0.61,74.71,21.28,34.53,35.47,2.51
18,Stylophora,2022,August,10/08/2022,2,7,6.71,6935384,1.8,1.54,0.18,0.3,51.75,6.59,17.97,33.55,1.8
19,Stylophora,2022,August,10/08/2022,3,7,6.43,5086361,3.1,1.81,0.18,0.7,74.15,19.8,30.62,39.85,2.58
20,Stylophora,2022,August,10/08/2022,4,7,6.26,3395874,3.6,2.06,0.23,0.56,75.26,31.61,26.93,49.89,3.2
21,Stylophora,2022,August,10/08/2022,5,7,4.33,5822817,1.9,1.38,0.09,0.36,48.57,2.98,18.62,59.95,2.77
22,Stylophora,2022,August,10/08/2022,6,7,10.73,5171796,2.8,1.41,0.19,0.24,46.6,10.61,27.25,28.04,1.84
23,Stylophora,2022,August,10/08/2022,7,7,3.04,4672773,2.8,1.82,0.18,0.8,78.58,24.83,21.04,92.44,4.61
24,Stylophora,2022,August,10/08/2022,8,7,4.94,2678305,3,1.23,0.13,0.63,56.67,17.02,19.55,18.23,1.47
25,Stylophora,2022,August,24/08/2022,1,8,3.56,3437486,2.6,1.55,0.15,0.44,56.98,28.21,29.56,82.99,4.47
26,Stylophora,2022,August,24/08/2022,2,8,4.20,3384339,2.1,1.59,0.12,0.51,60.4,14.83,25.81,42.66,2.49
27,Stylophora,2022,August,24/08/2022,3,8,3.73,3635055,2.6,1.77,0.16,0.28,56.06,,22.93,70.52,
28,Stylophora,2022,August,24/08/2022,4,8,4.33,5852243,1.9,1.89,0.18,0.54,69.71,13.25,19.88,48.02,2.56
29,Stylophora,2022,August,24/08/2022,5,8,5.88,4271037,1.3,1.14,0.17,0.68,57.02,3.97,13.25,38.98,1.87
30,Stylophora,2022,August,24/08/2022,6,8,8.91,8063007,1.2,1.37,0.26,0.37,52.19,7.06,15.82,14.91,1.03
31,Stylophora,2022,August,24/08/2022,7,8,3.84,6050386,1.4,1.49,0.1,0.7,65.19,5.83,16.83,44.74,2.2
32,Stylophora,2022,August,24/08/2022,8,8,3.23,5603299,2.1,1.17,0.14,0.11,34.84,13.39,11.15,56.13,2.73
33,Stylophora,2023,July,09/07/2023,1,9,2.60,5071322,1.9,1.48,0.15,1,77.63,13.21,20.46,46.83,2.52
34,Stylophora,2023,July,09/07/2023,2,9,3.95,7817631,0.9,1.54,0.14,1.06,81.08,9.29,12.06,26.17,1.47
35,Stylophora,2023,July,09/07/2023,3,9,3.53,7525127,1.7,1.78,0.15,0.17,51.82,12.5,18.32,9.77,1.01
36,Stylophora,2023,July,09/07/2023,4,9,4.83,,0.7,2.14,0.22,0.29,66.52,3.99,4.17,11.77,0.63
37,Stylophora,2023,July,09/07/2023,5,9,6.13,4271834,1.1,0.61,0.13,0.49,36.49,9.27,13.58,27.97,1.56
38,Stylophora,2023,July,09/07/2023,6,9,3.59,5106149,2.4,1.91,0.39,0.63,77.47,13.78,25.4,63.14,3.27
39,Stylophora,2023,July,09/07/2023,7,9,5.24,3214248,2.1,1.42,0.15,0.48,55.65,23.15,19.4,69.06,3.62
40,Stylophora,2023,July,09/07/2023,8,9,4.00,5743994,1.2,1.82,0.18,0.8,78.23,22.77,12.18,61.45,3.18
41,Stylophora,2023,July,25/07/2023,1,10,3.42,10188887,1.2,2.27,0.27,0.76,88.98,8.7,13.21,42.62,2.12
42,Stylophora,2023,July,25/07/2023,2,10,4.00,5661536,1.5,1.41,0.15,1.06,78.26,13.64,18.86,25.25,1.65
43,Stylophora,2023,July,25/07/2023,3,10,3.20,10117996,1.5,1.6,0.16,0.75,70.76,6.5,15.49,51.39,2.46
